n,BST,AVL,RBT
10722,2.0000006770715117e-06,1.5499999790336005e-05,2.0500001483014785e-06
11497,2.100000529026147e-06,1.495000014983816e-05,2.1000014385208488e-06
12328,1.99999976757681e-06,1.4200000805431046e-05,2.499999027349986e-06
13219,1.999998858082108e-06,1.4900000678608194e-05,2.200000380980782e-06
14174,2.0000006770715117e-06,1.6299998605973087e-05,2.1999985619913787e-06
15199,2.099999619531445e-06,1.5999999959603883e-05,2.200000380980782e-06
16297,2.3000011424301192e-06,1.610000072105322e-05,2.3000011424301192e-06
17475,2.200000380980782e-06,1.5999999959603883e-05,2.2999993234407157e-06
18738,2.200000380980782e-06,1.5999999959603883e-05,2.70000055024866e-06
20092,2.0000006770715117e-06,1.6799998775240965e-05,2.2999993234407157e-06
21544,1.8999999156221747e-06,1.6549999600101728e-05,2.2999993234407157e-06
23101,2.0000006770715117e-06,1.610000072105322e-05,2.4000000848900527e-06
24770,2.099999619531445e-06,1.650000012887176e-05,2.3000011424301192e-06
26560,2.099999619531445e-06,1.6449999748147093e-05,2.599999788799323e-06
28480,2.4000000848900527e-06,1.700000029813964e-05,2.4000000848900527e-06
30538,2.099999619531445e-06,1.6600000890321098e-05,2.5000008463393897e-06
32745,2.499999027349986e-06,1.680000059423037e-05,2.599999788799323e-06
35111,2.349999704165384e-06,1.7249999473278876e-05,2.800001311697997e-06
37649,2.200000380980782e-06,1.745000008668285e-05,2.599999788799323e-06
40370,2.200000380980782e-06,2.099999983329326e-05,2.70000055024866e-06
43287,2.6500010790186934e-06,1.7899999875226058e-05,2.599999788799323e-06
46415,2.4000000848900527e-06,1.7700000171316788e-05,2.70000055024866e-06
49770,2.4000000848900527e-06,1.7800000932766125e-05,2.6999996407539584e-06
53366,2.7999994927085936e-06,1.8149999959859997e-05,2.750000021478627e-06
57223,2.9000002541579306e-06,2.165000023524044e-05,2.9000002541579306e-06
61359,2.2999993234407157e-06,1.919999976962572e-05,2.7999994927085936e-06
65793,2.999999196617864e-06,1.8599999748403206e-05,2.999999196617864e-06
70548,2.70000055024866e-06,1.8599999748403206e-05,2.850000782927964e-06
75646,2.70000055024866e-06,2.1400000150606502e-05,2.9000002541579306e-06
81113,2.70000055024866e-06,1.9600000086938962e-05,3.2999996619764715e-06
86974,3.0500004868372343e-06,1.900000006571645e-05,3.0000010156072676e-06
93260,3.499999365885742e-06,1.944999985425966e-05,3.0000010156072676e-06
100000,3.4000004234258085e-06,1.849999898695387e-05,3.4000004234258085e-06
107226,3.3999995139311068e-06,1.9999999494757503e-05,3.2999996619764715e-06
114975,3.2999996619764715e-06,1.8650001038622577e-05,3.2999996619764715e-06
123284,3.5000002753804438e-06,2.2049999643058982e-05,3.4000004234258085e-06
132194,3.200000719516538e-06,1.944999985425966e-05,3.300001480965875e-06
141747,3.6999990697950125e-06,1.9499999325489625e-05,3.6999990697950125e-06
151991,3.5000011848751456e-06,2.1550000383285806e-05,4.099998477613553e-06
162975,3.4000004234258085e-06,2.0649999896704685e-05,3.5000002753804438e-06
174752,3.849999302474316e-06,2.055000095424475e-05,3.600000127335079e-06
187381,4.000000444648322e-06,2.069999936793465e-05,4.100000296602957e-06
200923,3.700000888784416e-06,2.0750000658154022e-05,3.9000005926936865e-06
215443,3.35000004270114e-06,2.1899999410379678e-05,4.149999767832924e-06
231012,3.600000127335079e-06,2.0599998606485315e-05,3.700000888784416e-06
247707,3.8000007407390513e-06,2.0649999896704685e-05,4.399998942972161e-06
265608,4.19999923906289e-06,2.2650000573776197e-05,3.7999998312443495e-06
284803,3.899999683198985e-06,2.0899999071843922e-05,4.800000169780105e-06
305385,4.099999387108255e-06,2.1200001356191933e-05,4.200000148557592e-06
327454,3.700000888784416e-06,2.0649999896704685e-05,4.300000000512227e-06
351119,4.399999852466863e-06,2.365000000281725e-05,4.200000148557592e-06
376493,4.499999704421498e-06,2.1150000975467265e-05,4.900000931229442e-06
403701,4.349999471742194e-06,2.2199999875738285e-05,4.400000761961564e-06
432876,3.950000063923653e-06,2.2349999198922887e-05,4.499999704421498e-06
464158,4.400000761961564e-06,2.120000044669723e-05,4.750000698550139e-06
497702,4.550000085146166e-06,2.249999943160219e-05,4.999999873689376e-06
533669,5.099998816149309e-06,2.3049999981594738e-05,5.000000783184078e-06
572236,4.900000931229442e-06,2.28000008064555e-05,4.549999175651465e-06
613590,4.600000465870835e-06,2.1500000002561137e-05,4.5000006139162e-06
657933,4.699999408330768e-06,2.6199999410891905e-05,4.899999112240039e-06
705480,5.199999577598646e-06,2.4599999960628338e-05,5.099999725644011e-06
756463,4.849999641010072e-06,2.3300000066228677e-05,4.899999112240039e-06
811130,4.999999873689376e-06,2.320000021427404e-05,5.099998816149309e-06
869749,5.500000042957254e-06,2.2599999283556826e-05,5.199999577598646e-06
932603,5.40000110049732e-06,2.3749999854771886e-05,5.149999196873978e-06
1000000,5.500000042957254e-06,2.27999998969608e-05,4.999999873689376e-06
